Rank,Release Group,Worldwide,Domestic,%,Foreign,%
100,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
101,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
102,One Second,"$10,600,000",-,-,"$10,600,000",100%
103,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
104,Let Him Go,"$10,463,217","$9,358,025",89.4%,"$1,105,192",10.6%
105,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
106,My Spy,"$10,200,000",-,-,"$10,200,000",100%
107,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
108,Bohemian Rhapsody 2020 Re-release,"$9,727,000","$240,000",2.5%,"$9,487,000",97.5%
109,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
110,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
111,365 Days,"$9,458,590",-,-,"$9,458,590",100%
112,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
113,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
114,Bye Bye Morons,"$9,414,360",-,-,"$9,414,360",100%
115,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
116,Bigfoot Family,"$9,312,576",-,-,"$9,312,576",100%
117,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
118,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
119,The Closet,"$8,948,595",-,-,"$8,948,595",100%
120,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
121,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
122,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
123,The Secret Garden,"$8,810,883",-,-,"$8,810,883",100%
124,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
125,Malang,"$8,399,765",-,-,"$8,399,765",100%
126,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
127,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
128,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
129,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
130,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
131,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
132,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
133,The Father,"$7,647,832","$2,100,980",27.5%,"$5,546,852",72.5%
134,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
135,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
136,De Gaulle,"$7,419,918",-,-,"$7,419,918",100%
137,Antoinette dans les Cévennes,"$7,384,162",-,-,"$7,384,162",100%
138,100% Wolf,"$7,356,437","$656,385",8.9%,"$6,700,052",91.1%
139,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
140,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
141,Adu,"$7,085,946",-,-,"$7,085,946",100%
142,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
143,Fatale,"$6,986,717","$6,306,897",90.3%,"$679,820",9.7%
144,Spycies,"$6,978,537",-,-,"$6,978,537",100%
145,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
146,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
147,It's for Your Own Good,"$6,735,986",$256,<0.1%,"$6,735,730",100%
148,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
149,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
150,Innocence,"$6,659,968",-,-,"$6,659,968",100%
151,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
152,Silver Skates,"$6,574,310",-,-,"$6,574,310",100%
153,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
154,Dragon Rider,"$6,523,166",-,-,"$6,523,166",100%
155,"Love Me, Love Me Not","$6,439,606",-,-,"$6,439,606",100%
156,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
157,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
158,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
159,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
160,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
161,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
162,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
163,Hotel Belgrade,"$6,085,659",-,-,"$6,085,659",100%
164,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
165,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
166,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
167,How to Be a Good Wife,"$5,955,232",-,-,"$5,955,232",100%
168,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
169,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
170,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
171,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
172,The Lion King 2020 Re-release,"$5,663,480",-,-,"$5,663,480",100%
173,Another Round,"$5,637,718",-,-,"$5,637,718",100%
174,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
175,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
176,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
177,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
178,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
179,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
180,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
181,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
182,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
183,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
184,Mama Weed,"$5,058,692",-,-,"$5,058,692",100%
185,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
186,Mayday,"$5,011,408",-,-,"$5,011,408",100%
187,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
188,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
189,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
190,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
191,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
192,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
193,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
194,The Vets,"$4,788,826",-,-,"$4,788,826",100%
195,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
196,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
197,Intruder,"$4,751,103",-,-,"$4,751,103",100%
198,Granny Nanny,"$4,654,655",$432,<0.1%,"$4,654,223",100%
199,Two by Two: Overboard!,"$4,612,104",-,-,"$4,612,104",100%
200,Military Wives,"$4,549,863",-,-,"$4,549,863",100%
